name,stars,price,description,city,country,ratingValue,ratingCount
Ritz Paris,5.0,2379 USD,"Located around 10 minutes' drive from Eiffel Tower, the 5-star luxury Ritz Paris features a buffet breakfast.",Paris,France,8.4,205.0
Four Seasons Hotel George V Paris,5.0,2158 USD,The business Four Seasons Hotel George V is set around 0.3 miles from Champs-Elysees and encourages relaxation with a hot tub and sauna facilities.,Paris,France,8.4,230.0
The Westin Paris - Vendome,4.0,554 USD,"Opened in 1878, the 4-star eco-friendly Westin Paris - Vendome welcomes guests in the 1st arr. district, boasting a prime position near a metro station.",Paris,France,8.2,243.0
Pullman Paris Tour Eiffel,4.0,439 USD,"Featuring fitness classes and spa therapy, the 4-star eco-friendly Pullman Paris Tour Eiffel in Paris is centrally located around 2.5 miles from Sainte-Chapelle.",Paris,France,8.4,1531.0
Hotel Plaza Athenee - Dorchester Collection,5.0,1626 USD,"Located less than 9 minutes by foot from Champs-Elysees and within 1.8 miles of Louvre Museum, the luxury Plaza Athenee - Dorchester Collection Paris features fitness classes and hammam.",Paris,France,8.4,200.0
Hotel Regina Louvre,5.0,757 USD,"Located in a trendy district near a subway station, the 5-star luxury Regina Louvre Paris offers 107 rooms and a lounge bar.",Paris,France,8.2,485.0
"The Hoxton, Paris",4.0,536 USD,Louvre Museum is also set within 1 miles of the smoke free Hoxton.,Paris,France,8.2,244.0
Relais Christine,5.0,427 USD,"Located 9 minutes by foot from Cathedrale Notre-Dame de Paris and near a subway station, the 5-star Relais Christine offers cozy rooms and an a private garden garden.",Paris,France,8.4,228.0
Pullman Paris Montparnasse,4.0,296 USD,"Located close to a metro station, the 32-story Pullman Paris Montparnasse offers 957 rooms with the classic decor and an à la carte restaurant.",Paris,France,8.6,1126.0
Hotel De Crillon,5.0,2196 USD,The comfortable 5-star De Crillon Paris is located 25 minutes' drive from Orly airport and offers a swimming pool as well as a fitness center.,Paris,France,8.6,189.0
Le Meurice - Dorchester Collection,5.0,1569 USD,"Located around 0.4 miles from Place de la Concorde, the elegant 5-star Le Meurice - Dorchester Collection Paris features fitness classes, massage therapy and various recreational opportunities near a metro station.",Paris,France,8.4,192.0
Hotel West-End,4.0,438 USD,"Situated in the very heart of Paris and within a 5-minute drive of Champ de Mars, the 4-star West-End offers 48 rooms.",Paris,France,8.4,250.0
Le Pavillon De La Reine & Spa,5.0,847 USD,"Situated in the 3rd arr. district only 7 minutes' walk from Picasso National Museum, the charming Le Pavillon De La Reine & Spa Paris has 63 rooms along with a hot tub and a wellness facility.",Paris,France,8.6,294.0
Grand Hotel Du Palais Royal,5.0,191 USD,"Centrally situated within a 10-minute drive of Sacre-Coeur, the boutique Grand Hotel Du Palais Royal Paris boasts fitness classes and spa therapy.",Paris,France,8.4,717.0
Novotel Paris Les Halles,4.0,291 USD,"Featuring a setting in a shopping area within 0.4 miles of The Centre Pompidou, the wonderful 4-star Novotel Paris Les Halles Paris includes 285 rooms along with fitness classes and entertainment activities.",Paris,France,8.6,1273.0
Hyatt Regency Paris Etoile,4.0,372 USD,The Hyatt Regency Paris Etoile is a refined 4-star property set within 1.5 miles of Quai Branly Museum and 25 minutes by foot from Paris Museum of Modern Art.,Paris,France,8.6,2635.0
Grand Powers Hotel,5.0,886 USD,"Situated in the heart of Paris and 10 minutes' drive from Luxembourg Gardens, the 4-star Grand Powers offers 60 rooms.",Paris,France,8.2,335.0
Le Meridien Etoile,4.0,267 USD,"Boasting a health club, a sundeck, and spa therapy, the stylish Le Meridien Etoile Paris with city views offers 1025 rooms near a subway station.",Paris,France,8.4,706.0
Hotel Du Collectionneur,5.0,700 USD,"Situated in the very heart of Paris and 1.6 miles from Basilique du Sacre-Coeur de Montmartre, the 5-star designer Du Collectionneur offers 478 rooms.",Paris,France,8.4,705.0
L'Hotel,5.0,482 USD,"Located in the historic district of Paris merely 9 minutes' stroll from Tuileries Garden, the 5-star luxury L'Hotel features a swimming pool and the lounge bar.",Paris,France,8.4,217.0
"Intercontinental Paris Le Grand, An Ihg Hotel",5.0,302 USD,"Located in the very heart of Paris, just 7 minutes by foot from The Madeleine Church and within walking distance of Colonne Vendome, the luxury Intercontinental Paris Le Grand, An Ihg offers fitness classes, massage therapy and various recreational opportunities.",Paris,France,8.2,426.0
"Hotel Du Louvre, In The Unbound Collection By Hyatt",5.0,615 USD,"Located in the fashion 1st arr. district near a subway station, the 5-star Du Louvre, In The Unbound Collection By Hyatt Paris features European dishes available.",Paris,France,8.4,619.0
Hotel Lutetia,5.0,1868 USD,"Offering an indoor swimming pool, the grand Lutetia is 0.8 miles from Montparnasse Tower.",Paris,France,8.2,514.0
Hotel San Regis,5.0,1024 USD,"Positioned near a subway station, the 5-star luxury San Regis Paris has classic rooms together with an a winter garden garden, and guests can enjoy access to.",Paris,France,8.4,214.0
Hotel La Comtesse,4.0,177 USD,"Featuring a location in a fashionable neighbourhood, the La Comtesse Paris boasts 40 rooms and an à la carte restaurant, about an 11-minute walk from the grassy Champ de Mars.",Paris,France,8.2,399.0
Hotel Brighton - Esprit De France,4.0,413 USD,"Set about a 25-minute walk from the medieval catholic Cathedrale Notre-Dame de Paris, the rooms in the 4-star pet-friendly Brighton - Esprit De France have views of garden.",Paris,France,8.4,457.0
Hotel Bel Ami,5.0,316 USD,"Situated in the heart of Paris and approximately 10 minutes' drive from Champ de Mars, the exclusive 5-star Bel Ami offers 108 rooms.",Paris,France,8.4,363.0
Hotel Pont Royal Paris,5.0,389 USD,"Near the 5-star Pont Royal Paris, there is a metro station and guests can easily reach Musee d'Orsay which is just 9 minutes' stroll from from the 5-star Pont Royal Paris.",Paris,France,8.2,223.0
Hyatt Paris Madeleine,5.0,559 USD,"Offering 85 rooms with views of the courtyard, the cozy 5-star Hyatt Paris Madeleine Paris is set in the 8th arr. district of Paris, within 25 minutes' walk of Louvre Museum.",Paris,France,8.4,184.0
Mercure Paris Centre Tour Eiffel,4.0,205 USD,"Situated within close distance of the River Seine, the 4-star Mercure Paris Centre Tour Eiffel features the hotel's recreational facilities and a garden.",Paris,France,8.4,1189.0
Hotel D'Aubusson,5.0,419 USD,"Sitting within 0.9 miles of Musee d'Orsay and adjacent to a subway station, the 5-star luxury D'Aubusson Paris offers spa therapy and entertainment activities.",Paris,France,8.6,436.0
Sofitel Paris Le Faubourg,5.0,1135 USD,Guests can use a traditional Hammam and a steam room at the 5-star designer Sofitel Paris Le Faubourg with an indoor garden near a metro station.,Paris,France,8.2,247.0
Sofitel Le Scribe Paris Opera,5.0,561 USD,"Being set 400 feet from Fragonard Musee du Parfum and near a metro station, the Sofitel Le Scribe Paris Opera, dated back to 1860, offers a traditional Hammam and a hot tub on site.",Paris,France,8.4,395.0
Hotel Le Walt By Inwood Hotels,4.0,151 USD,"Set in the lively 7th arr. district, the sublime 4-star Le Walt offers rooms with pleasant views.",Paris,France,8.2,256.0
